TrialId	SnippetName	ShapeName	ShapeType	ShapeNumPts	ShapePts
4	Task9CP	5	Task9CPL08	Rectangle	4	P0:(653;505) P1:(916;505) P2:(916;545) P3:(653;545)
4	Task9CP	5	Task9CPC09	Rectangle	4	P0:(1223;505) P1:(1666;505) P2:(1666;541) P3:(1223;541)
4	Task9CP	6	Task9CPL10	Rectangle	4	P0:(653;555) P1:(1681;555) P2:(1681;595) P3:(653;595)
4	Task9CP	7	Task9CPL11	Rectangle	4	P0:(713;605) P1:(1066;605) P2:(1066;645) P3:(713;645)
4	Task9CP	7	Task9CPC12	Rectangle	4	P0:(1223;605) P1:(1876;605) P2:(1876;644) P3:(1223;644)
4	Task9CP	8	Task9CPL13	Rectangle	4	P0:(653;654) P1:(676;654) P2:(676;693) P3:(653;693)
4	Task9CP	9	Task9CPL14	Rectangle	4	P0:(593;704) P1:(616;704) P2:(616;743) P3:(593;743)
4	Task9CP	10	Task9CPL15	Rectangle	4	P0:(533;753) P1:(556;753) P2:(556;792) P3:(533;792)
4	Task9CP	11	Task9CPL16	Rectangle	4	P0:(533;803) P1:(766;803) P2:(766;843) P3:(533;843)
4	Task9CP	11	Task9CPC17	Rectangle	4	P0:(1223;803) P1:(1666;803) P2:(1666;839) P3:(1223;839)
4	Task9CP	12	Task9CPL18	Rectangle	4	P0:(473;853) P1:(496;853) P2:(496;892) P3:(473;892)
4	Task9CP	13	Task9CPL19	Rectangle	4	P0:(473;952) P1:(1081;952) P2:(1081;992) P3:(473;992)
4	Task9CP	14	Task9CPL20	Rectangle	4	P0:(533;1001) P1:(766;1001) P2:(766;1041) P3:(533;1041)
4	Task9CP	15	Task9CPL21	Rectangle	4	P0:(533;1051) P1:(1111;1051) P2:(1111;1091) P3:(533;1091)
4	Task9CP	16	Task9CPL22	Rectangle	4	P0:(533;1101) P1:(946;1101) P2:(946;1141) P3:(533;1141)
4	Task9CP	17	Task9CPL23	Rectangle	4	P0:(473;1150) P1:(496;1150) P2:(496;1189) P3:(473;1189)
5	Task6CM	0	Task6CML00	Rectangle	4	P0:(893;161) P1:(1501;161) P2:(1501;201) P3:(893;201)
5	Task6CM	1	Task6CML01	Rectangle	4	P0:(953;211) P1:(1276;211) P2:(1276;251) P3:(953;251)
5	Task6CM	2	Task6CML02	Rectangle	4	P0:(953;260) P1:(1231;260) P2:(1231;300) P3:(953;300)
5	Task6CM	3	Task6CML03	Rectangle	4	P0:(953;310) P1:(1291;310) P2:(1291;350) P3:(953;350)
5	Task6CM	4	Task6CML04	Rectangle	4	P0:(953;360) P1:(1396;360) P2:(1396;400) P3:(953;400)
5	Task6CM	5	Task6CML05	Rectangle	4	P0:(1013;409) P1:(1171;409) P2:(1171;449) P3:(1013;449)
5	Task6CM	6	Task6CML06	Rectangle	4	P0:(1013;459) P1:(1456;459) P2:(1456;499) P3:(1013;499)
5	Task6CM	7	Task6CML07	Rectangle	4	P0:(1073;509) P1:(1471;509) P2:(1471;549) P3:(1073;549)
5	Task6CM	8	Task6CML08	Rectangle	4	P0:(1133;558) P1:(1666;558) P2:(1666;598) P3:(1133;598)
5	Task6CM	9	Task6CML09	Rectangle	4	P0:(1073;608) P1:(1096;608) P2:(1096;647) P3:(1073;647)
5	Task6CM	10	Task6CML10	Rectangle	4	P0:(1013;657) P1:(1036;657) P2:(1036;696) P3:(1013;696)
