TrialId	SnippetName	ShapeName	ShapeType	ShapeNumPts	ShapePts
4	Task1CP	11	Task1CPC18	Rectangle	4	P0:(721;803) P1:(1239;803) P2:(1239;839) P3:(721;839)
4	Task1CP	12	Task1CPL19	Rectangle	4	P0:(421;853) P1:(444;853) P2:(444;892) P3:(421;892)
4	Task1CP	13	Task1CPL20	Rectangle	4	P0:(421;952) P1:(1029;952) P2:(1029;992) P3:(421;992)
4	Task1CP	14	Task1CPL21	Rectangle	4	P0:(481;1001) P1:(1029;1001) P2:(1029;1041) P3:(481;1041)
4	Task1CP	15	Task1CPL22	Rectangle	4	P0:(481;1051) P1:(909;1051) P2:(909;1091) P3:(481;1091)
4	Task1CP	16	Task1CPL23	Rectangle	4	P0:(481;1101) P1:(894;1101) P2:(894;1141) P3:(481;1141)
4	Task1CP	17	Task1CPL24	Rectangle	4	P0:(421;1150) P1:(444;1150) P2:(444;1189) P3:(421;1189)
5	Task9CM	0	Task9CML00	Rectangle	4	P0:(676;257) P1:(1404;257) P2:(1404;297) P3:(676;297)
5	Task9CM	1	Task9CML01	Rectangle	4	P0:(736;307) P1:(1359;307) P2:(1359;347) P3:(736;347)
5	Task9CM	2	Task9CML02	Rectangle	4	P0:(736;357) P1:(1374;357) P2:(1374;397) P3:(736;397)
5	Task9CM	3	Task9CML03	Rectangle	4	P0:(736;406) P1:(1344;406) P2:(1344;446) P3:(736;446)
5	Task9CM	4	Task9CML04	Rectangle	4	P0:(796;456) P1:(1074;456) P2:(1074;496) P3:(796;496)
5	Task9CM	5	Task9CML05	Rectangle	4	P0:(856;505) P1:(1119;505) P2:(1119;545) P3:(856;545)
5	Task9CM	6	Task9CML06	Rectangle	4	P0:(856;555) P1:(1884;555) P2:(1884;595) P3:(856;595)
5	Task9CM	7	Task9CML07	Rectangle	4	P0:(916;605) P1:(1269;605) P2:(1269;645) P3:(916;645)
5	Task9CM	8	Task9CML08	Rectangle	4	P0:(856;654) P1:(879;654) P2:(879;693) P3:(856;693)
5	Task9CM	9	Task9CML09	Rectangle	4	P0:(796;704) P1:(819;704) P2:(819;743) P3:(796;743)
5	Task9CM	10	Task9CML10	Rectangle	4	P0:(736;753) P1:(759;753) P2:(759;792) P3:(736;792)
5	Task9CM	11	Task9CML11	Rectangle	4	P0:(736;803) P1:(969;803) P2:(969;843) P3:(736;843)
5	Task9CM	12	Task9CML12	Rectangle	4	P0:(676;853) P1:(699;853) P2:(699;892) P3:(676;892)
5	Task9CM	13	Task9CML13	Rectangle	4	P0:(676;952) P1:(1284;952) P2:(1284;992) P3:(676;992)
5	Task9CM	14	Task9CML14	Rectangle	4	P0:(736;1001) P1:(969;1001) P2:(969;1041) P3:(736;1041)
5	Task9CM	15	Task9CML15	Rectangle	4	P0:(736;1051) P1:(1314;1051) P2:(1314;1091) P3:(736;1091)
5	Task9CM	16	Task9CML16	Rectangle	4	P0:(736;1101) P1:(1149;1101) P2:(1149;1141) P3:(736;1141)
5	Task9CM	17	Task9CML17	Rectangle	4	P0:(676;1150) P1:(699;1150) P2:(699;1189) P3:(676;1189)
6	Task7CM	0	Task7CML00	Rectangle	4	P0:(871;281) P1:(1689;281) P2:(1689;321) P3:(871;321)
6	Task7CM	1	Task7CML01	Rectangle	4	P0:(931;331) P1:(1179;331) P2:(1179;371) P3:(931;371)
6	Task7CM	2	Task7CML02	Rectangle	4	P0:(931;381) P1:(1239;381) P2:(1239;421) P3:(931;421)
6	Task7CM	3	Task7CML03	Rectangle	4	P0:(991;430) P1:(1329;430) P2:(1329;470) P3:(991;470)
6	Task7CM	4	Task7CML04	Rectangle	4	P0:(1051;480) P1:(1314;480) P2:(1314;520) P3:(1051;520)
