Participant,Task,Type,AllFixations_Count,AllFixations_Duration,AoiFixations_Count,AoiFixations_Duration,AoiHits_CountRatio,AoiHits_DurationRatio,CodeFixations_Count,CodeFixations_Duration,CodeHits_CountRatio,CodeHits_DurationRatio,CommentFixations_Count,CommentFixations_Duration,CommentHits_CountRatio,CommentHits_DurationRatio
782b7c64,Task5CM,CM,590,226.91,458,186.25,0.78,0.82,458,186.25,1.0,1.0,0,0.0,0.0,0.0
4d750b0b,Task5CM,CM,866,205.82,680,168.01,0.79,0.82,680,168.01,1.0,1.0,0,0.0,0.0,0.0
1ce913d5,Task5CP,CP,838,126.28,611,84.87,0.73,0.67,428,54.6,0.7,0.64,183,30.26,0.3,0.36
9679a6e6,Task5CP,CP,687,235.55,530,190.99,0.77,0.81,426,152.34,0.8,0.8,104,38.65,0.2,0.2
625d844e,Task5CP,CP,740,162.81,502,91.11,0.68,0.56,344,67.22,0.69,0.74,158,23.9,0.31,0.26
1de0f518,Task5CP,CP,1097,381.42,933,354.34,0.85,0.93,809,330.26,0.87,0.93,124,24.08,0.13,0.07
1d1071e4,Task5CP,CP,1016,240.69,781,193.05,0.77,0.8,567,154.17,0.73,0.8,214,38.88,0.27,0.2
cb039d67,Task5CP,CP,670,171.91,547,144.98,0.82,0.84,344,103.13,0.63,0.71,203,41.84,0.37,0.29
5e4ae544,Task5CP,CP,514,213.77,373,151.54,0.73,0.71,281,120.35,0.75,0.79,92,31.19,0.25,0.21
dfab1ede,Task5CP,CP,578,208.69,412,160.58,0.71,0.77,367,149.95,0.89,0.93,45,10.62,0.11,0.07
9a43cae5,Task5CP,CP,611,229.91,524,200.29,0.86,0.87,365,159.0,0.7,0.79,159,41.28,0.3,0.21
66310afd,Task5CP,CP,1123,590.17,885,530.84,0.79,0.9,781,501.14,0.88,0.94,104,29.71,0.12,0.06
615db7bf,Task6CM,CM,529,171.18,360,124.44,0.68,0.73,360,124.44,1.0,1.0,0,0.0,0.0,0.0
f9ec2bc7,Task6CM,CM,708,179.88,487,137.05,0.69,0.76,487,137.05,1.0,1.0,0,0.0,0.0,0.0
dac593bd,Task6CM,CM,1746,792.03,742,267.75,0.42,0.34,742,267.75,1.0,1.0,0,0.0,0.0,0.0
b1c5e27d,Task6CM,CM,702,220.12,425,126.26,0.61,0.57,425,126.26,1.0,1.0,0,0.0,0.0,0.0
967a04d0,Task6CM,CM,497,268.76,308,180.05,0.62,0.67,308,180.05,1.0,1.0,0,0.0,0.0,0.0
66b337a9,Task6CM,CM,906,243.05,524,166.05,0.58,0.68,524,166.05,1.0,1.0,0,0.0,0.0,0.0
45c939e2,Task6CM,CM,149,95.28,118,82.35,0.79,0.86,118,82.35,1.0,1.0,0,0.0,0.0,0.0
ba88bf04,Task6CM,CM,320,174.99,210,114.51,0.66,0.65,210,114.51,1.0,1.0,0,0.0,0.0,0.0
782b7c64,Task6CM,CM,639,249.52,435,174.36,0.68,0.7,435,174.36,1.0,1.0,0,0.0,0.0,0.0
4d750b0b,Task6CM,CM,225,58.08,165,44.95,0.73,0.77,165,44.95,1.0,1.0,0,0.0,0.0,0.0
1ce913d5,Task6CP,CP,384,62.91,297,47.02,0.77,0.75,159,18.08,0.54,0.38,138,28.94,0.46,0.62
9679a6e6,Task6CP,CP,800,278.85,407,173.39,0.51,0.62,317,148.3,0.78,0.86,90,25.09,0.22,0.14
625d844e,Task6CP,CP,1072,190.8,543,114.46,0.51,0.6,400,91.66,0.74,0.8,143,22.8,0.26,0.2
1de0f518,Task6CP,CP,438,219.21,310,183.26,0.71,0.84,278,178.94,0.9,0.98,32,4.32,0.1,0.02
1d1071e4,Task6CP,CP,965,247.2,721,200.32,0.75,0.81,570,180.21,0.79,0.9,151,20.11,0.21,0.1
cb039d67,Task6CP,CP,559,143.61,419,107.97,0.75,0.75,271,76.69,0.65,0.71,148,31.28,0.35,0.29
5e4ae544,Task6CP,CP,596,238.14,420,156.32,0.7,0.66,298,114.03,0.71,0.73,122,42.28,0.29,0.27
dfab1ede,Task6CP,CP,890,282.24,603,199.72,0.68,0.71,511,173.56,0.85,0.87,92,26.16,0.15,0.13
9a43cae5,Task6CP,CP,661,258.13,379,149.35,0.57,0.58,328,140.01,0.87,0.94,51,9.34,0.13,0.06
66310afd,Task6CP,CP,742,343.61,457,184.64,0.62,0.54,397,172.04,0.87,0.93,60,12.6,0.13,0.07
1ce913d5,Task7CM,CM,405,100.73,373,97.32,0.92,0.97,373,97.32,1.0,1.0,0,0.0,0.0,0.0
9679a6e6,Task7CM,CM,281,136.11,184,114.69,0.65,0.84,184,114.69,1.0,1.0,0,0.0,0.0,0.0
625d844e,Task7CM,CM,762,236.34,490,158.94,0.64,0.67,490,158.94,1.0,1.0,0,0.0,0.0,0.0
1de0f518,Task7CM,CM,474,228.37,366,197.01,0.77,0.86,366,197.01,1.0,1.0,0,0.0,0.0,0.0
1d1071e4,Task7CM,CM,608,132.15,495,115.93,0.81,0.88,495,115.93,1.0,1.0,0,0.0,0.0,0.0
cb039d67,Task7CM,CM,419,208.53,329,177.7,0.79,0.85,329,177.7,1.0,1.0,0,0.0,0.0,0.0
5e4ae544,Task7CM,CM,151,69.39,111,58.37,0.74,0.84,111,58.37,1.0,1.0,0,0.0,0.0,0.0
dfab1ede,Task7CM,CM,570,174.98,355,121.94,0.62,0.7,355,121.94,1.0,1.0,0,0.0,0.0,0.0
9a43cae5,Task7CM,CM,545,235.38,415,202.16,0.76,0.86,415,202.16,1.0,1.0,0,0.0,0.0,0.0
66310afd,Task7CM,CM,348,309.5,224,210.68,0.64,0.68,224,210.68,1.0,1.0,0,0.0,0.0,0.0
615db7bf,Task7CP,CP,492,183.96,382,147.61,0.78,0.8,229,96.77,0.6,0.66,153,50.84,0.4,0.34
f9ec2bc7,Task7CP,CP,445,173.6,312,144.19,0.7,0.83,279,137.71,0.89,0.96,33,6.48,0.11,0.04
dac593bd,Task7CP,CP,916,381.02,585,258.46,0.64,0.68,403,208.63,0.69,0.81,182,49.83,0.31,0.19
b1c5e27d,Task7CP,CP,412,117.83,310,93.89,0.75,0.8,284,90.28,0.92,0.96,26,3.62,0.08,0.04
967a04d0,Task7CP,CP,432,271.38,297,208.22,0.69,0.77,232,184.58,0.78,0.89,65,23.65,0.22,0.11
66b337a9,Task7CP,CP,570,199.76,426,147.26,0.75,0.74,355,135.01,0.83,0.92,71,12.25,0.17,0.08
45c939e2,Task7CP,CP,495,147.32,347,111.07,0.7,0.75,250,90.78,0.72,0.82,97,20.29,0.28,0.18
ba88bf04,Task7CP,CP,198,76.2,112,46.91,0.57,0.62,66,33.61,0.59,0.72,46,13.3,0.41,0.28
782b7c64,Task7CP,CP,498,170.61,380,139.0,0.76,0.81,309,123.68,0.81,0.89,71,15.32,0.19,0.11
4d750b0b,Task7CP,CP,362,102.57,273,87.75,0.75,0.86,252,81.38,0.92,0.93,21,6.37,0.08,0.07
1ce913d5,Task8CM,CM,384,132.99,334,125.7,0.87,0.95,334,125.7,1.0,1.0,0,0.0,0.0,0.0
9679a6e6,Task8CM,CM,152,61.52,103,46.23,0.68,0.75,103,46.23,1.0,1.0,0,0.0,0.0,0.0
625d844e,Task8CM,CM,603,237.97,422,191.41,0.7,0.8,422,191.41,1.0,1.0,0,0.0,0.0,0.0
1de0f518,Task8CM,CM,392,129.27,267,89.73,0.68,0.69,267,89.73,1.0,1.0,0,0.0,0.0,0.0
1d1071e4,Task8CM,CM,1041,209.26,889,181.2,0.85,0.87,889,181.2,1.0,1.0,0,0.0,0.0,0.0
cb039d67,Task8CM,CM,343,122.17,259,93.43,0.76,0.76,259,93.43,1.0,1.0,0,0.0,0.0,0.0
5e4ae544,Task8CM,CM,311,127.89,221,102.15,0.71,0.8,221,102.15,1.0,1.0,0,0.0,0.0,0.0
dfab1ede,Task8CM,CM,359,137.7,259,106.75,0.72,0.78,259,106.75,1.0,1.0,0,0.0,0.0,0.0
9a43cae5,Task8CM,CM,428,175.6,310,123.1,0.72,0.7,310,123.1,1.0,1.0,0,0.0,0.0,0.0
66310afd,Task8CM,CM,401,296.03,326,274.82,0.81,0.93,326,274.82,1.0,1.0,0,0.0,0.0,0.0
615db7bf,Task8CP,CP,892,185.01,681,160.23,0.76,0.87,470,118.05,0.69,0.74,211,42.18,0.31,0.26
f9ec2bc7,Task8CP,CP,277,94.64,195,75.14,0.7,0.79,169,71.13,0.87,0.95,26,4.01,0.13,0.05
dac593bd,Task8CP,CP,654,221.75,396,120.84,0.61,0.54,181,73.38,0.46,0.61,215,47.45,0.54,0.39
b1c5e27d,Task8CP,CP,494,133.88,377,102.76,0.76,0.77,328,96.31,0.87,0.94,49,6.46,0.13,0.06
967a04d0,Task8CP,CP,409,171.91,299,147.61,0.73,0.86,274,139.8,0.92,0.95,25,7.81,0.08,0.05
66b337a9,Task8CP,CP,336,70.39,245,50.32,0.73,0.71,196,43.88,0.8,0.87,49,6.44,0.2,0.13
45c939e2,Task8CP,CP,184,42.46,138,34.88,0.75,0.82,98,30.55,0.71,0.88,40,4.33,0.29,0.12
ba88bf04,Task8CP,CP,189,82.02,130,54.38,0.69,0.66,101,49.54,0.78,0.91,29,4.84,0.22,0.09
782b7c64,Task8CP,CP,471,176.87,387,154.79,0.82,0.88,281,136.57,0.73,0.88,106,18.23,0.27,0.12
4d750b0b,Task8CP,CP,206,53.9,124,32.49,0.6,0.6,110,30.63,0.89,0.94,14,1.86,0.11,0.06
1ce913d5,Task9CM,CM,1009,191.59,900,168.18,0.89,0.88,900,168.18,1.0,1.0,0,0.0,0.0,0.0
9679a6e6,Task9CM,CM,723,240.71,426,144.12,0.59,0.6,426,144.12,1.0,1.0,0,0.0,0.0,0.0
625d844e,Task9CM,CM,1087,294.98,600,168.94,0.55,0.57,600,168.94,1.0,1.0,0,0.0,0.0,0.0
1de0f518,Task9CM,CM,1425,484.83,893,338.64,0.63,0.7,893,338.64,1.0,1.0,0,0.0,0.0,0.0
1d1071e4,Task9CM,CM,853,171.68,604,130.7,0.71,0.76,604,130.7,1.0,1.0,0,0.0,0.0,0.0
cb039d67,Task9CM,CM,752,233.63,526,177.3,0.7,0.76,526,177.3,1.0,1.0,0,0.0,0.0,0.0
5e4ae544,Task9CM,CM,463,227.57,338,182.93,0.73,0.8,338,182.93,1.0,1.0,0,0.0,0.0,0.0
dfab1ede,Task9CM,CM,620,240.34,355,134.29,0.57,0.56,355,134.29,1.0,1.0,0,0.0,0.0,0.0
9a43cae5,Task9CM,CM,774,263.83,550,205.83,0.71,0.78,550,205.83,1.0,1.0,0,0.0,0.0,0.0
66310afd,Task9CM,CM,628,340.98,455,267.95,0.72,0.79,455,267.95,1.0,1.0,0,0.0,0.0,0.0
615db7bf,Task9CP,CP,591,222.91,458,182.96,0.77,0.82,339,143.93,0.74,0.79,119,39.03,0.26,0.21
f9ec2bc7,Task9CP,CP,516,119.39,371,90.45,0.72,0.76,283,74.31,0.76,0.82,88,16.14,0.24,0.18
dac593bd,Task9CP,CP,889,326.4,466,175.15,0.52,0.54,353,147.74,0.76,0.84,113,27.41,0.24,0.16
b1c5e27d,Task9CP,CP,485,98.05,340,74.5,0.7,0.76,277,66.7,0.81,0.9,63,7.8,0.19,0.1
967a04d0,Task9CP,CP,446,190.17,310,141.05,0.7,0.74,247,124.24,0.8,0.88,63,16.81,0.2,0.12
66b337a9,Task9CP,CP,453,126.53,314,92.56,0.69,0.73,242,73.72,0.77,0.8,72,18.85,0.23,0.2
45c939e2,Task9CP,CP,238,51.37,139,36.15,0.58,0.7,104,28.92,0.75,0.8,35,7.23,0.25,0.2
ba88bf04,Task9CP,CP,287,101.48,197,74.28,0.69,0.73,150,63.24,0.76,0.85,47,11.04,0.24,0.15
782b7c64,Task9CP,CP,414,94.99,202,47.95,0.49,0.5,122,32.99,0.6,0.69,80,14.96,0.4,0.31
4d750b0b,Task9CP,CP,503,103.98,348,78.52,0.69,0.76,269,66.26,0.77,0.84,79,12.26,0.23,0.16
1ce913d5,Task10CM,CM,204,45.86,184,40.58,0.9,0.89,184,40.58,1.0,1.0,0,0.0,0.0,0.0
9679a6e6,Task10CM,CM,222,99.7,115,47.46,0.52,0.48,115,47.46,1.0,1.0,0,0.0,0.0,0.0
625d844e,Task10CM,CM,412,99.52,260,60.58,0.63,0.61,260,60.58,1.0,1.0,0,0.0,0.0,0.0
1de0f518,Task10CM,CM,609,212.22,461,182.17,0.76,0.86,461,182.17,1.0,1.0,0,0.0,0.0,0.0
1d1071e4,Task10CM,CM,881,191.81,665,154.71,0.75,0.81,665,154.71,1.0,1.0,0,0.0,0.0,0.0
cb039d67,Task10CM,CM,449,136.72,317,104.38,0.71,0.76,317,104.38,1.0,1.0,0,0.0,0.0,0.0
5e4ae544,Task10CM,CM,341,139.18,219,89.36,0.64,0.64,219,89.36,1.0,1.0,0,0.0,0.0,0.0
dfab1ede,Task10CM,CM,294,96.0,236,77.55,0.8,0.81,236,77.55,1.0,1.0,0,0.0,0.0,0.0
9a43cae5,Task10CM,CM,401,166.21,288,119.47,0.72,0.72,288,119.47,1.0,1.0,0,0.0,0.0,0.0
66310afd,Task10CM,CM,371,198.46,240,132.37,0.65,0.67,240,132.37,1.0,1.0,0,0.0,0.0,0.0
615db7bf,Task10CP,CP,644,169.68,429,114.56,0.67,0.68,358,101.12,0.83,0.88,71,13.44,0.17,0.12
f9ec2bc7,Task10CP,CP,259,56.34,177,39.6,0.68,0.7,163,38.56,0.92,0.97,14,1.04,0.08,0.03
dac593bd,Task10CP,CP,738,241.09,317,110.8,0.43,0.46,245,90.85,0.77,0.82,72,19.95,0.23,0.18
b1c5e27d,Task10CP,CP,328,79.14,179,38.78,0.55,0.49,151,34.98,0.84,0.9,28,3.8,0.16,0.1
967a04d0,Task10CP,CP,301,186.82,233,137.74,0.77,0.74,214,133.81,0.92,0.97,19,3.93,0.08,0.03
66b337a9,Task10CP,CP,331,77.13,193,49.11,0.58,0.64,162,44.77,0.84,0.91,31,4.34,0.16,0.09
45c939e2,Task10CP,CP,92,19.79,61,15.38,0.66,0.78,48,14.29,0.79,0.93,13,1.09,0.21,0.07
ba88bf04,Task10CP,CP,137,47.89,80,31.66,0.58,0.66,73,30.47,0.91,0.96,7,1.19,0.09,0.04
782b7c64,Task10CP,CP,349,82.19,173,36.94,0.5,0.45,112,28.0,0.65,0.76,61,8.95,0.35,0.24
4d750b0b,Task10CP,CP,647,172.73,416,119.58,0.64,0.69,400,117.45,0.96,0.98,16,2.14,0.04,0.02
1ce913d5,Task11CM,CM,1200,218.47,1074,184.32,0.9,0.84,1074,184.32,1.0,1.0,0,0.0,0.0,0.0
9679a6e6,Task11CM,CM,403,137.4,305,99.05,0.76,0.72,305,99.05,1.0,1.0,0,0.0,0.0,0.0
625d844e,Task11CM,CM,810,241.93,531,146.63,0.66,0.61,531,146.63,1.0,1.0,0,0.0,0.0,0.0
1de0f518,Task11CM,CM,479,195.18,314,144.4,0.66,0.74,314,144.4,1.0,1.0,0,0.0,0.0,0.0
1d1071e4,Task11CM,CM,820,171.17,565,112.57,0.69,0.66,565,112.57,1.0,1.0,0,0.0,0.0,0.0
cb039d67,Task11CM,CM,10,3.22,9,2.94,0.9,0.91,9,2.94,1.0,1.0,0,0.0,0.0,0.0
5e4ae544,Task11CM,CM,612,249.06,432,175.96,0.71,0.71,432,175.96,1.0,1.0,0,0.0,0.0,0.0
dfab1ede,Task11CM,CM,455,184.42,234,101.03,0.51,0.55,234,101.03,1.0,1.0,0,0.0,0.0,0.0
9a43cae5,Task11CM,CM,623,271.08,457,203.15,0.73,0.75,457,203.15,1.0,1.0,0,0.0,0.0,0.0
66310afd,Task11CM,CM,688,472.04,534,393.64,0.78,0.83,534,393.64,1.0,1.0,0,0.0,0.0,0.0
615db7bf,Task11CP,CP,362,130.7,313,97.59,0.86,0.75,222,60.99,0.71,0.62,91,36.6,0.29,0.38
f9ec2bc7,Task11CP,CP,626,136.53,529,123.39,0.85,0.9,318,79.8,0.6,0.65,211,43.59,0.4,0.35
